feature	PT1	PT2	PT3
ALAD	14	0	0
ALAS1	72	514	48
ALAS2	3090	3848	1978
ALB	0	0	0
ALCAM	0	6	0
ALDH16A1	68	62	8
ALDH18A1	612	0	4
ALDH1A1	60	158	0
ALDH1A2	0	0	0
ALDH1A3	0	0	2
ALDH1B1	0	0	2
ALDH1L1	36	0	4
ALDH1L1-AS1	0	0	0
ALDH1L1-AS2	0	0	0
ALDH1L2	0	0	0
ALDH2	830	418	2
ALDH3A1	0	0	2
ALDH3A2	0	2	4
ALDH3B1	214	46	588
ALDH3B2	0	0	8
ALDH4A1	0	0	0
ALDH5A1	16	10	62
ALDH6A1	32	0	2
ALDH7A1	4	0	4
ALDH8A1	0	0	0
ALDH9A1	42	488	22
ALDOA	3966	12918	1428
ALDOB	0	0	0
ALDOC	40	326	2
ALG1	0	26	2
ALG10	0	0	0
ALG10B	2	0	2
ALG11	0	0	0
ALG12	0	0	0
ALG13	16	530	2
ALG14	0	0	0
ALG1L	0	0	0
ALG1L2	32	16	0
ALG1L9P	0	0	2
ALG2	320	2252	6
ALG3	102	1044	2
ALG5	72	706	0
ALG6	66	0	2
ALG8	670	1698	8
ALG9	6	334	0
ALK	0	0	0
ALKBH1	0	0	8
ALKBH2	28	0	0
ALKBH3	92	0	6
ALKBH3-AS1	0	0	2
ALKBH4	4	352	2
ALKBH5	18	596	2
ALKBH6	0	328	10
ALKBH7	68	146	2
ALKBH8	8	0	0
ALLC	0	0	0
ALMS1	26	10	10
ALMS1-IT1	0	0	0
ALMS1P	0	2	2
ALOX12	86	2	2
ALOX12-AS1	20	116	2424
ALOX12B	0	0	0
ALOX12P2	0	8	124
ALOX15	14	22	6
ALOX15B	0	0	2
ALOX15P1	0	0	0
ALOX5	1668	1266	1620
ALOX5AP	16068	39132	296
ALOXE3	162	0	0
ALPI	0	0	6
ALPK1	42	132	66
ALPK2	0	8	4
ALPK3	0	0	2
ALPL	134	354	28
ALPP	0	0	0
ALPPL2	0	0	4
ALS2	2	102	916
ALS2CL	6	0	8
ALS2CR11	0	0	0
ALS2CR12	0	6	6
ALX1	0	0	0
ALX3	0	0	0
ALX4	0	0	18
ALYREF	32	36	0
AMACR	0	0	0
AMBN	0	0	2
AMBP	0	0	4
AMBRA1	92	12	10
AMD1	500	266	4
AMDHD1	18	0	0
AMDHD2	6	32	2
AMELX	0	0	0
AMELY	0	0	4
AMER1	0	0	0
AMER2	0	0	2
AMER3	0	0	4
AMFR	126	324	6
AMH	0	0	2
AMHR2	0	0	4
AMICA1	5102	10348	4668
AMIGO1	42	0	6
AMIGO2	12	0	0
AMIGO3	0	0	0
AMMECR1	8	46	0
AMMECR1L	4	4	10
AMN	0	28	10
AMN1	0	62	2
AMOT	12	0	0
AMOTL1	0	0	8
AMOTL2	0	0	894
AMPD1	0	0	6
AMPD2	3670	6098	2904
AMPD3	146	168	134
AMPH	0	28	2
AMT	0	764	20
AMTN	0	0	0
AMY1A	0	0	0
AMY1B	0	0	0
AMY1C	0	0	0
AMY2A	0	0	0
AMY2B	0	12	66
AMZ1	0	0	2
AMZ2	108	902	6
AMZ2P1	34	636	0
ANAPC1	6	74	0
ANAPC10	34	0	0
ANAPC11	1726	1994	2700
ANAPC13	702	1200	2
ANAPC15	58	106	0
ANAPC16	586	3232	150
ANAPC1P1	0	0	0
ANAPC2	28	888	36
ANAPC4	80	88	0
ANAPC5	934	1014	146
ANAPC7	78	342	0
ANG	16	102	0
ANGEL1	14	64	12
ANGEL2	92	6	10
ANGPT1	0	312	24
ANGPT2	6	0	0
ANGPT4	0	0	0
ANGPTL1	0	0	2
ANGPTL2	0	0	2
ANGPTL3	0	0	4
ANGPTL4	0	0	0
ANGPTL5	0	0	0
ANGPTL6	0	0	2
ANGPTL7	0	0	0
ANHX	0	0	0
ANK1	0	16	1772
ANK2	0	0	0
ANK3	4	4	16
ANKAR	0	24	0
ANKDD1A	8	14	2
ANKDD1B	0	0	0
ANKEF1	0	0	0
ANKFN1	0	0	0
ANKFY1	220	246	100
ANKH	24	104	10
ANKHD1	196	46	6
ANKHD1-EIF4EBP3	82	0	0
ANKIB1	14	42	4
ANKK1	0	0	2
ANKLE1	0	0	0
ANKLE2	54	158	8
ANKMY1	4	34	10
ANKMY2	4	0	4
ANKRA2	0	0	0
ANKRD1	0	6	0
ANKRD10	528	172	6
ANKRD11	716	290	0
ANKRD12	338	510	10
ANKRD13A	298	1578	30
ANKRD13B	0	0	4
ANKRD13C	234	654	22
ANKRD13D	228	188	96
ANKRD16	0	30	0
ANKRD17	222	90	46
ANKRD18A	0	0	0
ANKRD18B	0	0	0
ANKRD18DP	0	0	0
ANKRD19P	10	20	42
ANKRD2	0	0	2
ANKRD20A1	0	0	0
ANKRD20A11P	46	20	0
ANKRD20A12P	0	0	0
ANKRD20A19P	0	0	0
ANKRD20A2	0	0	0
ANKRD20A3	0	0	0
ANKRD20A4	0	0	0
ANKRD20A5P	0	0	0
ANKRD20A8P	0	0	0
ANKRD20A9P	2	2	10
ANKRD22	6	62	12
ANKRD23	0	0	0
ANKRD24	0	0	10
ANKRD26	0	10	0
ANKRD26P1	0	0	8
ANKRD26P3	0	0	0
ANKRD27	180	4	24
ANKRD28	0	8	6
ANKRD29	0	0	0
ANKRD30A	0	0	0
ANKRD30B	0	0	10
ANKRD30BL	0	0	0
ANKRD30BP2	2	0	0
ANKRD30BP3	0	0	0
ANKRD31	0	0	0
ANKRD32	330	0	0
ANKRD33	0	0	0
ANKRD33B	0	172	14
ANKRD34A	2	0	18
ANKRD34B	0	0	0
ANKRD34C	0	0	0
ANKRD34C-AS1	0	0	0
ANKRD35	0	124	2
ANKRD36	0	0	0
ANKRD36B	0	12	0
ANKRD36BP1	0	0	0
ANKRD36BP2	0	0	4
ANKRD36C	18	0	2
ANKRD37	0	0	0
ANKRD39	128	338	0
ANKRD40	2	88	4
ANKRD42	0	0	2
ANKRD44	590	938	18
